gene	count_2	count_3	count_4	count_5	count_6	count_7	count_8	count_9	count_10	count_11	count_12	count_13	count_14	count_15	count_16	count_18	count_19	count_20	count_21	count_22	count_23	count_24	count_25	count_26	count_27	count_28	count_29	count_30	count_31	count_32	count_34	count_35	count_36	count_37	count_38	count_39	count_40	count_41	count_42	count_43	count_44	count_45	count_46	count_47	count_48	count_50	count_51	count_52	count_53	count_54	count_55	count_56	count_57	count_58	count_59	count_60	count_61	count_62	count_63	count_64
Rv0001	718.5073929	418.6417353	303.2175122	257.6071579	262.2222876	303.5213678	367.8187697	567.1017734	629.4113405	185.9174172	76.95289535	136.8964045	33.24826927	32.17072829	55.16504298	480.5317376	303.4669551	283.1186818	232.5875276	249.1466095	315.2764462	377.4829967	569.489958	330.0433734	253.3332397	96.38935212	62.33439417	98.77680398	20.80843506	56.11664472	291.878156	288.5836729	294.6290746	259.5149087	284.955478	307.7504796	249.1140922	176.8413893	188.4254495	513.4204791	516.3088688	567.9438297	498.9180636	496.9038994	506.051503	291.6300435	372.5973811	310.8023083	254.8150846	297.5239539	304.6471163	251.8303976	184.5122122	211.0646282	461.6546694	464.7464932	415.9690814	433.683228	403.1300847	353.4140301
Rv0002	1063.289783	614.25707	547.4575523	559.1870881	182.0642897	188.4147474	175.6601512	266.0717225	218.6937708	34.85951573	46.17173721	73.01141574	33.24826927	96.51218487	36.77669532	850.7166507	544.01579	458.0843569	376.6942055	269.7713289	160.9922278	157.5581204	175.2276794	94.88746985	65.14283306	19.27787042	51.94532848	115.2396046	114.4463928	28.05832236	417.5147436	420.6743614	543.3371588	476.6784261	542.5328806	474.2606365	448.935396	361.15495	346.361344	516.7543783	509.9121217	532.0548041	372.9486917	270.6351595	300.2942985	454.5443338	530.1016809	524.1792086	480.1883444	453.1695185	458.87612	375.4303241	307.5203536	348.0130018	461.2614371	492.2778947	311.8297215	303.4276752	176.6093705	199.9437173
Rv0003	240.2517876	154.7479272	143.2786047	147.3087873	55.30280473	30.86657978	46.58390751	69.916657	55.11794224	122.0083051	38.47644767	73.01141574	16.62413463	32.17072829	73.55339065	210.9075393	124.4457846	105.4387421	94.01090275	71.77402328	59.25408385	55.80183429	51.10807315	41.25542167	36.19046281	28.91680564	0	120.7272049	41.61687012	21.04374177	114.1716519	126.2553569	185.5208014	132.9112814	144.1539477	155.680228	149.9984853	106.1048336	90.2490826	170.02886	107.8308788	78.95585626	45.62670164	38.45089698	65.34181495	116.0596018	181.1095954	136.0032541	138.8716156	181.2678074	158.2640648	146.0402589	91.70201536	86.93913604	116.396748	106.8382743	66.48445006	53.45748124	49.143477	35.66563607
Rv0004	157.0768997	139.5472451	116.6221201	135.9491544	44.11796782	38.58322473	54.3478921	36.90045786	40.89395715	87.14878932	23.0858686	91.26426968	24.93620195	80.42682073	128.7184336	162.6518943	125.4886263	95.62563148	76.77014895	44.54939376	69.31609809	91.90890354	14.60230661	74.25975901	43.42855537	38.55574085	72.72345987	142.6776057	31.21265259	14.02916118	101.2735991	114.5846936	153.559792	136.0651084	140.8015303	162.9001806	152.1186052	102.6178203	84.15117161	133.3559686	80.41624859	81.64753318	50.58612573	39.92977763	68.12231771	110.1354458	133.0850285	147.1189047	155.8071785	119.6979403	151.0906228	151.0269994	102.2297392	90.01662758	99.88099321	78.07412353	47.06863721	73.78638255	52.21494431	41.06952032
Rv0005	2724.820567	2719.925322	2523.036266	2560.314669	1795.166324	2082.851081	2289.404955	2755.881563	2416.299468	917.9672475	361.6786081	447.1949214	615.0929814	707.7560224	468.9028654	2414.132058	2243.500261	2104.80784	2049.37262	1886.749325	1716.132429	1944.858048	2190.345992	1472.818554	810.6663669	559.0582423	696.0674016	422.545217	353.743396	575.1956084	2285.821565	2534.125378	2798.608841	2596.951274	2619.914189	2620.842794	2608.807578	2819.499334	2756.255766	3001.620593	3180.097103	2872.916497	2881.425397	3037.620861	3076.626308	2397.936785	3221.512365	2900.966847	2712.034985	2579.433251	2639.826668	2816.439822	2849.965656	2771.281133	3252.030763	3189.122488	2966.50086	3155.497237	2387.297968	2580.895119
Rv0006	1841.087383	1953.910623	1841.296673	2469.804046	700.9164465	752.3728822	657.0271955	602.0601019	572.5154001	528.7026552	707.9666372	657.1027417	889.3912029	1109.890126	735.5339065	1595.810806	1723.469832	1571.976811	1396.501057	1007.311292	675.2729556	653.2097073	576.7911113	528.0693974	521.1426644	626.5307888	924.6268469	548.7600221	915.5711425	946.9683796	1921.809855	2384.528694	2772.893086	2662.731095	2713.223139	2745.386977	2892.90365	2691.476131	2470.263741	2640.448178	2491.076064	2092.330191	1325.158117	1013.033247	1304.055796	1949.316607	2809.640656	2627.434661	2681.811519	2878.486891	2967.114961	3023.033359	2571.535065	2266.57252	2562.301385	2158.133141	1787.431498	1327.401964	777.8490968	979.1838265
Rv0007	470.6687068	468.9784202	444.4968805	638.704518	200.0843048	172.3384038	167.8961667	215.5763591	222.2497671	185.9174172	300.1162919	164.2756854	241.0499522	128.6829132	183.8834766	440.0374901	456.0694674	395.8650596	357.5016682	301.1209023	192.2962721	118.1685903	164.2759494	103.1385542	144.7618512	279.5291211	176.6141168	159.1404064	312.1265259	182.3790953	529.2978672	618.5451518	688.4474886	660.9520331	655.3975993	704.8478727	644.5164598	597.2755656	506.1266119	493.4170838	409.391811	380.4236711	231.1091626	261.7618756	232.1719808	512.170215	612.1097337	678.926501	681.8518163	619.522886	679.2352925	668.9356248	601.4654845	505.4779857	377.5029665	367.359297	348.8962733	262.7698726	208.0919104	213.9938164
Rv0008c	129.2582717	79.2428999	71.97250839	71.45575503	78.91523822	80.38171818	135.8697302	143.7175727	165.3538267	174.2975786	161.6010802	191.6549663	91.43274049	80.42682073	91.94173831	118.108222	83.77495553	78.50488523	82.95079654	103.1235967	101.738144	152.6344291	51.10807315	156.7706024	115.809481	86.75041691	41.55626278	87.80160354	124.8506103	56.11664472	130.4136442	124.1334181	123.8029902	105.8784784	74.870655	83.93194899	75.79428763	72.23099001	79.88263392	84.45878011	71.27803852	101.3864972	80.34267028	110.916049	130.6836299	123.8687166	103.9853969	99.82290126	97.18407622	97.89991285	82.27041331	74.80110821	68.98429555	92.8376615	73.14119975	99.03086195	102.9626439	88.84482797	113.6442906	81.05826379
Rv0009	1983.552478	1299.782912	965.9643603	647.8655123	769.8896075	826.3240629	988.9375365	1037.097079	1148.586796	302.115803	115.429343	136.8964045	124.6810098	225.195098	91.94173831	1880.957799	1221.167713	948.5311	805.1106723	515.6179833	756.8870711	837.0275144	576.7911113	726.0954214	296.761795	57.83361127	93.50159126	65.85120265	114.4463928	154.320773	1812.892966	1980.299358	1995.54256	1644.946062	1302.972891	1521.605011	1214.298692	1062.044625	1214.094077	920.1561833	1055.463263	1132.298757	1018.665708	887.3283919	963.4442076	1736.85483	2145.029489	1762.593455	1706.323097	1448.230351	1480.64327	1137.689236	1141.980989	1392.82138	990.5520547	1123.445546	1139.061021	1135.406785	798.5815012	772.7554481
Rv0010c	35.12453036	40.36902448	18.99274527	13.92471124	23.61243348	25.72214982	19.40996146	11.65277617	19.55797951	17.42975786	30.78115814	54.75856181	16.62413463	0	27.58252149	31.38304185	19.81399363	19.20864213	18.21664551	22.27469688	10.06201424	3.282460841	14.60230661	16.50216867	14.47618512	0	0	5.487600221	0	0	45.85974301	56.76186213	63.18728284	65.3292739	68.72455645	59.11336192	53.53302833	45.8293178	29.26997273	51.11978796	36.55284027	41.27237941	69.43193728	54.71858417	58.39055804	44.70044989	64.10058714	72.57865965	61.22857349	43.97847647	50.88660442	48.44262246	46.26657573	50.5221528	69.9953417	50.54272207	42.36177349	44.42241398	58.35787893	52.95806567
