Rv0001	dnaA	L	Replication, recombination and repair 
Rv0002	dnaN	L	Replication, recombination and repair 
Rv0003	recF	L	Replication, recombination and repair 
Rv0004	-	R	General function prediction only 
Rv0005	gyrB	L	Replication, recombination and repair 
Rv0006	gyrA	L	Replication, recombination and repair 
Rv0009	ppiA	O	Posttranslational modification, protein turnover, chaperones 
Rv0012	-	S	Function unknown 
Rv0013	trpG	H	Coenzyme transport and metabolism 
Rv0014c	pknB	L	Replication, recombination and repair 
Rv0014c	pknB	S	Function unknown 
Rv0015c	pknA	L	Replication, recombination and repair 
Rv0016c	pbpA	M	Cell wall/membrane/envelope biogenesis 
Rv0017c	rodA	D	Cell cycle control, cell division, chromosome partitioning 
Rv0018c	ppp	T	Signal transduction mechanisms 
Rv0019c	-	T	Signal transduction mechanisms 
Rv0020c	TB39.8	T	Signal transduction mechanisms 
Rv0021c	-	R	General function prediction only 
Rv0023	-	K	Transcription 
Rv0024	-	M	Cell wall/membrane/envelope biogenesis 
Rv0032	bioF2	H	Coenzyme transport and metabolism 
Rv0033	acpA	Q	Secondary metabolites biosynthesis, transport and catabolism 
Rv0034	-	R	General function prediction only 
Rv0035	fadD34	Q	Secondary metabolites biosynthesis, transport and catabolism 
Rv0037c	-	R	General function prediction only 
Rv0038	-	K	Transcription 
Rv0041	leuS	J	Translation, ribosomal structure and biogenesis 
Rv0042c	-	K	Transcription 
Rv0043c	-	K	Transcription 
Rv0044c	-	C	Energy production and conversion 
Rv0045c	-	R	General function prediction only 
Rv0046c	ino1	I	Lipid transport and metabolism 
Rv0047c	-	K	Transcription 
Rv0050	ponA1	M	Cell wall/membrane/envelope biogenesis 
Rv0051	-	S	Function unknown 
Rv0052	-	R	General function prediction only 
Rv0053	rpsF	J	Translation, ribosomal structure and biogenesis 
Rv0054	ssb	L	Replication, recombination and repair 
Rv0055	rpsR	J	Translation, ribosomal structure and biogenesis 
Rv0056	rplI	J	Translation, ribosomal structure and biogenesis 
Rv0058	dnaB	L	Replication, recombination and repair 
